state,district

Andaman and Nicobar Islands,Nicobars
Andaman and Nicobar Islands,North And Middle Andaman
Andaman and Nicobar Islands,South Andamans

Arunachal Pradesh,Anjaw
Arunachal Pradesh,Bichom
Arunachal Pradesh,Changlang
Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Kamle
Arunachal Pradesh,Keyi Panyor
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Leparada
Arunachal Pradesh,Lohit
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Namsai
Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Siang
Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Arunachal Pradesh,West Siang

Bihar,Araria
Bihar,Arwal
Bihar,Aurangabad
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jamui
Bihar,Jehanabad
Bihar,Kaimur (Bhabua)
Bihar,Katihar
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Madhubani
Bihar,Munger
Bihar,Muzaffarpur
Bihar,Nalanda
Bihar,Nawada
Bihar,Pashchim Champaran
Bihar,Patna
Bihar,Purbi Champaran
Bihar,Purnia
Bihar,Rohtas
Bihar,Saharsa
Bihar,Samastipur
Bihar,Saran
Bihar,Sheikhpura
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Siwan
Bihar,Supaul
Bihar,Vaishali

Chhattisgarh,Balod
Chhattisgarh,Balodabazar-Bhatapara
Chhattisgarh,Balrampur-Ramanujganj
Chhattisgarh,Bastar
Chhattisgarh,Bemetara
Chhattisgarh,Bijapur
Chhattisgarh,Bilaspur
Chhattisgarh,Dakshin Bastar Dantewada
Chhattisgarh,Dhamtari
Chhattisgarh,Durg
Chhattisgarh,Gariyaband
Chhattisgarh,Gaurela-Pendra-Marwahi
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Jashpur
Chhattisgarh,Kabeerdham
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai
Chhattisgarh,Kondagaon
Chhattisgarh,Korba
Chhattisgarh,Korea
Chhattisgarh,Mahasamund
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur (MCB)
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki
Chhattisgarh,Mungeli
Chhattisgarh,Narayanpur
Chhattisgarh,Raigarh
Chhattisgarh,Raipur
Chhattisgarh,Rajnandgaon
Chhattisgarh,Sakti
